customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0020-ROUXZ,Male,0,No,No,5,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),65.87,281.23,No
0021-YMIOM,Male,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.69,550.57,No
0022-AYGIX,Female,1,Yes,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,76.37,624.7,Yes
0023-ALHXK,Male,1,No,No,19,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,41.92,767.99,Yes
0024-SQHCC,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,65.83,934.37,Yes
0025-AEJGZ,Female,1,Yes,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.89,818.45,Yes
0026-IGIHL,Female,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),81.47,5054.64,No
0027-BAPWW,Male,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.29,1267.6,No
0028-XECLH,Female,1,Yes,Yes,52,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,69.2,3654.22,No
0029-VCACE,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,60.93,1677.04,No
0030-ONCAE,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,66.8,1194.26,No
0031-ZWNGI,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.79,332.78,No
0032-OOZJM,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,72.91,1533.16,No
0033-SGQTD,Male,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.01,1151.48,No
0034-EWGMO,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,65.14,2406.67,No
0035-KDMGS,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,72.51,5210.82,Yes
0036-VBJMY,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,69.27,632.11,Yes
0037-UFLLT,Male,0,Yes,No,30,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,52.31,1574.73,No
0038-KZWYG,Male,1,No,No,41,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,79.4,3251.97,Yes
0039-AAYYT,Female,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,1253.75,No
0040-MICGF,Female,0,Yes,Yes,58,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),46.79,2726.58,No
0041-HIEAS,Female,0,No,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.62,3363.19,Yes
0042-JLXOV,Female,0,No,No,42,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,41.07,1745.64,Yes
0043-XITQQ,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,61.85,101.09,Yes
0044-ZTLGB,Male,0,No,No,5,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.8,462.87,Yes
0045-CQEQX,Male,1,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,58.83,1754.38,No
0046-QQBBV,Female,1,Yes,No,29,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,45.47,1300.81,No
0047-WEAAS,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.0,835.61,No
0048-BULZF,Female,0,No,No,36,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,47.55,1695.44,Yes
0049-WDWKX,Male,0,Yes,Yes,6,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),82.53,436.32,No
0050-QFXET,Female,1,Yes,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,80.6,3957.72,No
0051-BFVKP,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),66.75,1303.55,No
0052-PAIFP,Female,0,No,Yes,7,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),56.77,353.54,Yes
0053-CTDSZ,Male,0,No,Yes,70,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,80.24,5585.92,Yes
0054-CSTGT,Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.48,1238.41,Yes
0055-IAHGR,Male,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),74.73,3559.99,Yes
0056-HAKYY,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),73.79,4215.83,No
0057-RWJCG,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,65.43,940.22,Yes
0058-PZPYT,Female,0,Yes,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,385.16,No
0059-QBAPL,Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.35,1549.1,No
0060-EEWII,Female,1,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,90.35,667.3,No
0061-CSPPC,Female,1,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,1003.36,No
0062-TXVXA,Female,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),78.2,3945.03,Yes
0063-XTKQH,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,79.44,1955.44,No
0064-DFHTC,Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,63.85,1579.76,No
0065-PYCYR,Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.33,1368.4,No
0066-NRBVC,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,85.64,2085.57,Yes
0067-PIDAD,Male,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,73.09,3369.01,No
0068-ANUPT,Male,0,Yes,No,0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,54.27,18.8,No
0069-XHGCQ,Female,0,Yes,Yes,63,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,41.67,2658.71,No
0070-APLSV,Male,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),61.6,719.02,Yes
0071-WVNFF,Male,0,Yes,Yes,23,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,47.15,1117.27,No
0072-MSVHB,Female,0,No,No,29,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,55.97,1528.67,No
0073-UAOAE,Male,0,No,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.39,292.16,No
0074-PSDCQ,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.16,529.62,No
0075-QLNUF,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,47.4,49.11,No
0076-CIEXQ,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,86.19,No
0077-NUCAT,Female,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.3,169.05,No
0078-UWACR,Female,0,No,Yes,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.63,1099.95,Yes
0079-YJVZC,Male,0,No,No,19,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),43.56,735.78,No
0080-HNXRO,Male,0,No,No,20,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,54.58,1069.07,No
0081-VWBJB,Male,0,Yes,No,39,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,36.58,1369.16,No
0082-ZQHAI,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.08,1402.49,No
0083-KVPGJ,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),73.24,1788.62,No
0084-WZCRY,Female,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),80.99,5635.88,No
0085-XMZGY,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,80.49,5592.72,Yes
0086-DMTAH,Female,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,84.48,2531.68,No
0087-NPNLS,Female,0,No,No,50,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.98,2721.12,No
0088-WOBBW,Male,0,Yes,No,71,No,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),42.77,3076.45,No
0089-VSYZV,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.99,429.93,Yes
0090-ZZVQT,Female,1,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,277.44,No
0091-JFOVK,Male,1,Yes,Yes,70,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),29.71,2073.08,No
0092-EAHUL,Male,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,71.2,3830.43,No
0093-LEGDF,Female,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),68.69,3831.14,No
0094-MTOCW,Female,0,No,No,0,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,44.72,18.8,No
0095-HTPMR,Female,1,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),64.84,2504.92,No
0096-JSQXS,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.85,2149.68,Yes
0097-ZWZEZ,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),77.34,1226.2,No
0098-UWILU,Male,0,No,Yes,71,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),41.97,2932.4,Yes
0099-AZZAO,Male,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.7,18.8,Yes
0100-BVPYH,Female,0,Yes,Yes,21,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,58.56,1234.9,No
0101-MUAPG,Male,0,Yes,No,10,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,38.88,350.66,No
0102-EVWCL,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,60.26,4260.73,No
0103-ZPSEV,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,213.28,No
0104-YNEOQ,Female,1,No,No,12,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Mailed check,59.53,759.78,Yes
0105-NTELP,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.22,33.23,Yes
0106-ZZPUG,Male,0,Yes,No,66,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.35,3713.72,No
0107-DAEWZ,Male,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),50.65,262.97,No
0108-JVEDB,Female,0,Yes,No,66,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),70.4,4678.6,No
0109-TJZSZ,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.78,948.74,No
0110-AXEMD,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,997.33,Yes
0111-PXPWB,Female,1,Yes,Yes,27,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,37.34,1025.94,No
0112-QTXLR,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.05,889.51,No
0113-CAASK,Male,0,Yes,No,51,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,43.91,2283.48,No
0114-ELCAA,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,62.86,532.9,No
0115-HJKLM,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),56.99,424.41,Yes
0116-LNBSR,Female,0,No,Yes,17,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.85,1026.1,Yes
0117-CWQZH,Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),61.24,2827.08,Yes
0118-ZJZBS,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),63.47,655.18,No
0119-IGDZU,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.34,18.8,No
0120-RMKXD,Male,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,69.66,1938.55,No
0121-YUYDJ,Male,1,Yes,Yes,54,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,72.51,3891.66,Yes
0122-EIXCQ,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.39,1268.02,No
0123-CPDRQ,Female,0,No,No,25,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.05,1342.6,No
0124-GXWEL,Female,0,Yes,Yes,50,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,87.16,4337.39,No
0125-QWMWY,Male,1,Yes,No,5,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),61.11,322.01,Yes
0126-CIQQT,Male,0,Yes,No,11,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),56.69,640.99,No
0127-PYVMS,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),79.1,2653.51,No
0128-QDLIS,Female,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),55.82,3752.14,Yes
0129-LIGNT,Female,0,No,No,63,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),34.04,2100.81,No
0130-SZOPU,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.66,860.31,No
0131-ECLYT,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,588.94,No
0132-UDUWP,Male,0,No,No,7,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.88,257.56,Yes
0133-YGMUJ,Male,0,No,No,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.55,2422.22,No
0134-ZGNZE,Female,0,No,No,45,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),49.04,2177.58,No
0135-CWKKR,Male,0,Yes,No,30,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,75.46,2286.85,No
0136-OLIJZ,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.27,254.62,No
0137-LQFGN,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,83.87,2836.0,No
0138-MHJIR,Female,0,No,No,67,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,39.13,2625.31,No
0139-ZBEEF,Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,68.25,1083.91,Yes
0140-SHPMA,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,211.54,No
0141-VTQGY,Male,0,Yes,No,29,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),38.26,984.15,No
0142-MDDFS,Female,0,Yes,No,38,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),55.14,2049.71,No
0143-LVGJZ,Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,700.95,Yes
0144-SGCMM,Female,0,Yes,No,68,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),73.47,5006.45,No
0145-RZTHI,Female,1,No,No,36,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.39,2858.0,Yes
0146-GACMY,Female,0,Yes,No,25,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),49.6,1200.35,No
0147-QYXAF,Female,0,No,Yes,20,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.29,1059.64,Yes
0148-UFZLM,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),74.38,1435.13,Yes
0149-MOUPV,Male,0,No,No,10,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.14,606.24,Yes
0150-UKEDC,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,67.19,1235.87,No
0151-STYRO,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.27,4552.49,Yes
0152-IQNOA,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,71.32,18.8,Yes
0153-UVVCP,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),70.08,1602.32,No
0154-WYKLJ,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,516.3,No
0155-PHFLX,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.92,1190.27,Yes
0156-UHZDZ,Female,0,No,No,17,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,38.58,616.32,No
0157-HZREI,Male,0,No,No,39,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.33,2106.96,No
0158-DVQIA,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.65,518.45,No
0159-UTMPM,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,800.73,Yes
0160-NCFRS,Male,0,No,No,69,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),43.93,3016.95,No
0161-EOYBJ,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,240.46,No
0162-XRMEW,Male,0,No,No,41,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),51.29,2030.17,No
0163-XAVAR,Male,0,No,No,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,50.7,865.68,Yes
0164-OQKUZ,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.01,1111.36,No
0165-YVQMA,Female,0,Yes,No,28,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,36.3,998.47,No
0166-BICAU,Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,80.06,4254.82,No
0167-PWFQE,Female,0,No,No,70,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),41.89,3078.71,No
0168-EFCUW,Female,0,No,No,7,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),56.69,489.04,Yes
0169-EUEJJ,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),80.78,573.23,Yes
0170-SQUNI,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,1329.42,No
